Genre,Publisher,TotalSales
Action,Deep Silver,0.21
Action,Deep Silver,0.08
Action,Deep Silver,0.08
Action,PQube,0.21
Action,PQube,0.21
Action,PQube,0.21
Action,PQube,0.15
Action,PQube,0.15
Action,PQube,0.15
Action,Telltale Games,0.21
Action,Telltale Games,0.21
Action,Telltale Games,0.21
Action,Telltale Games,0.12
Action,Telltale Games,0.12
Action,Telltale Games,0.12
Shooter,CCP,0.18
Shooter,CCP,0.18
Adventure,Ubisoft,0.18
RolePlaying,NIS America,0.14
RolePlaying,NIS America,0.14
Action,Tecmo Koei,0.16
Action,Tecmo Koei,0.16
Action,Tecmo Koei,0.03
Action,Tecmo Koei,0.03
Racing,Milestone S.r.l,0.16
Racing,Milestone S.r.l,0.16
Racing,Milestone S.r.l,0.16
Racing,Milestone S.r.l,0.02
Racing,Milestone S.r.l,0.02
Racing,Milestone S.r.l,0.02
Racing,Milestone S.r.l,0.08
Racing,Milestone S.r.l,0.08
Racing,Milestone S.r.l,0.08
Action,Insomniac Games,0.15
Action,Insomniac Games,0.15
Action,Insomniac Games,0.15
Action,Insomniac Games,0.07
Action,Insomniac Games,0.07
Action,Insomniac Games,0.07
Action,Insomniac Games,0.13
Action,Insomniac Games,0.13
Action,Insomniac Games,0.13
Sports,Focus Home Interactive,0.14
Sports,Focus Home Interactive,0.14
Sports,Focus Home Interactive,0.14
Sports,Focus Home Interactive,0.04
Sports,Focus Home Interactive,0.04
Sports,Focus Home Interactive,0.04
Sports,Focus Home Interactive,0
Sports,Focus Home Interactive,0
Sports,Focus Home Interactive,0
Action,Activision,0.14
Action,Activision,0.14
Action,Activision,0.1
Action,Activision,0.1
Racing,Dusenberry Martin Racing,0.14
Racing,Dusenberry Martin Racing,0.14
Racing,Dusenberry Martin Racing,0.14
Racing,Dusenberry Martin Racing,0.1
Racing,Dusenberry Martin Racing,0.1
Racing,Dusenberry Martin Racing,0.1
Racing,Milestone S.r.l.,0.14
Racing,Milestone S.r.l.,0.14
Racing,Milestone S.r.l.,0.14
Racing,Milestone S.r.l.,0.01
Racing,Milestone S.r.l.,0.01
Racing,Milestone S.r.l.,0.01
Racing,Milestone S.r.l.,0.1
Racing,Milestone S.r.l.,0.1
Racing,Milestone S.r.l.,0.1
Adventure,NIS America,0.14
Adventure,NIS America,0.14
Adventure,NIS America,0.04
Adventure,NIS America,0.04
Racing,Namco Bandai Games,0.13
Racing,Namco Bandai Games,0.13
Racing,Namco Bandai Games,0.13
Racing,Namco Bandai Games,0.02
Racing,Namco Bandai Games,0.02
Racing,Namco Bandai Games,0.02
Racing,Namco Bandai Games,0.07
Racing,Namco Bandai Games,0.07
Racing,Namco Bandai Games,0.07
Misc,Sega,0.13
Misc,Sega,0.13
Misc,Sega,0.18
Misc,Sega,0.18
Misc,Ubisoft,0.12
Misc,Ubisoft,0.12
Misc,Ubisoft,0.12
Misc,Ubisoft,0.11
Misc,Ubisoft,0.11
Misc,Ubisoft,0.11
Misc,Ubisoft,0
Misc,Ubisoft,0
Misc,Ubisoft,0
RolePlaying,Namco Bandai Games,0.11
RolePlaying,Namco Bandai Games,0.11
RolePlaying,Namco Bandai Games,0.11
RolePlaying,Namco Bandai Games,0.11
Simulation,Namco Bandai Games,0.11
Strategy,Namco Bandai Games,0.11
Strategy,Namco Bandai Games,0.11
Strategy,Namco Bandai Games,0.11
Strategy,Namco Bandai Games,0.12
Strategy,Namco Bandai Games,0.12
Strategy,Namco Bandai Games,0.12
Action,Namco Bandai Games,0.11
Action,Namco Bandai Games,0.11
Action,Namco Bandai Games,0.14
Action,Namco Bandai Games,0.14
Platform,Capcom,0.11
Platform,Capcom,0.11
Platform,Capcom,0.11
Platform,Capcom,0.11
Platform,Capcom,0.26
Platform,Capcom,0.26
Platform,Capcom,0.26
Platform,Capcom,0.26
Platform,Capcom,0
Platform,Capcom,0
Platform,Capcom,0
Platform,Capcom,0
Action,Ubisoft,0.11
Action,Ubisoft,0.11
Action,Ubisoft,0.11
Action,Ubisoft,0.01
Action,Ubisoft,0.01
Action,Ubisoft,0.01
Action,Ubisoft,0.12
Action,Ubisoft,0.12
Action,Ubisoft,0.12
Action,Namco Bandai Games,0.16
Action,Namco Bandai Games,0.16
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.1
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
Misc,Deep Silver,0.05
